batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
932,"16:37:28",5.776,-2.959,-5.876,2.769,-12.327,5.630,-6.571,-4.515,6.740,-9.651
756,"16:37:28",2.778,-4.320,9.339,14.012,-5.968,8.295,9.977,-14.200,1.944,-2.863
526,"16:37:28",6.046,-12.901,7.768,-7.821,-14.976,-4.261,12.610,-11.337,2.358,10.827
396,"16:37:28",-10.321,-1.860,-7.947,13.695,13.035,-3.032,-13.863,-12.813,-7.279,-5.129
244,"16:37:28",13.114,4.461,8.326,9.14,6.865,-11.45,12.880,2.085,-3.394,-11.908
291,"16:37:28",7.811,-12.085,7.287,6.300,11.837,-8.407,14.654,-0.540,-4.496,-14.099
207,"16:37:28",-14.095,10.445,10.067,-2.744,-2.121,-10.935,5.885,11.509,-14.879,4.400
616,"16:37:28",-3.917,-12.813,1.573,9.026,-6.600,2.054,12.494,1.685,-1.622,12.221
406,"16:37:28",-11.081,-2.037,-2.509,-3.921,8.952,12.756,7.670,-12.214,-7.464,14.985
298,"16:37:28",3.166,5.624,-4.406,1.339,-10.034,-2.974,12.423,-4.112,-13.190,9.117
211,"16:37:28",-12.03,5.223,0.08,8.48,8.635,13.053,-11.258,7.089,-12.86,0.642
965,"16:37:28",-7.644,12.516,1.162,-13.462,12.947,-12.390,1.319,-1.533,7.798,-7.970
210,"16:37:28",10.135,-14.06,14.524,-5.51,2.07,-12.719,9.360,-5.53,10.319,-9.593
78,"16:37:28",6.712,13.419,13.595,3.698,4.153,2.663,-12.769,-9.845,-1.227,-2.639
549,"16:37:28",-6.720,2.25,7.96,10.03,-12.93,1.23,14.916,2.838,3.38,-10.608
308,"16:37:28",-13.098,2.486,7.172,-2.257,7.498,-0.613,-0.317,7.243,4.856,11.755
4,"16:37:28",10.550,-7.481,-5.364,11.055,14.848,-11.080,-0.675,7.287,-2.557,-6.325
364,"16:37:28",-11.511,3.838,11.326,1.481,12.236,-1.356,10.824,-4.385,0.025,9.564
458,"16:37:28",7.198,10.556,0.981,10.148,-0.936,-4.631,-5.500,13.107,10.677,-14.539
93,"16:37:28",0.636,-11.455,-10.873,7.409,-6.168,12.670,-10.283,0.987,5.576,13.733
508,"16:37:28",7.690,2.32,-5.895,-0.27,5.030,-4.586,1.643,13.102,1.30,9.16
127,"16:37:28",-14.380,-8.768,12.835,-7.655,-4.541,-7.541,2.718,12.718,-2.636,-12.601
112,"16:37:28",-0.816,4.680,14.101,-1.778,-5.763,10.351,-5.607,14.556,8.932,-10.982
722,"16:37:28",-7.041,-1.661,12.200,-11.145,6.688,9.708,-1.551,-10.584,13.951,-8.168
220,"16:37:28",-11.109,13.698,-0.170,3.760,-6.946,-3.612,-1.380,-8.500,-4.774,-1.893
771,"16:37:28",-10.837,-13.727,4.375,-6.776,2.297,1.818,-4.991,-5.591,10.812,-13.948
238,"16:37:28",7.462,13.976,-5.190,6.365,2.646,-8.167,10.463,-0.735,-0.884,-6.643
546,"16:37:28",11.596,6.093,1.012,3.219,-7.969,12.045,3.524,1.473,-14.429,3.459
929,"16:37:28",1.988,-5.712,-8.595,6.514,6.082,-10.830,3.267,-12.291,13.446,1.256
721,"16:37:28",-2.000,-0.011,-0.411,-0.782,0.294,12.347,-1.822,-6.720,9.523,13.597
172,"16:37:28",-3.041,-3.641,-4.219,-2.598,-4.933,-4.533,-6.333,-2.318,6.231,-13.440
799,"16:37:28",14.127,-6.917,2.928,-6.822,-2.595,-13.179,2.689,-12.957,-2.990,7.707
46,"16:37:28",4.892,9.24,9.745,2.842,-13.501,3.12,2.156,8.386,14.926,-4.85
59,"16:37:28",10.238,5.447,11.979,6.282,3.530,6.711,-14.580,4.510,2.967,-4.944
644,"16:37:28",-9.959,8.053,-11.559,-9.495,-9.458,-7.888,14.816,-7.951,-8.302,0.676
333,"16:37:28",-1.856,0.623,2.503,11.631,12.635,-12.113,-14.714,-13.280,6.799,-5.501
458,"16:37:28",-9.843,-8.195,4.410,0.864,-5.556,9.062,-7.104,8.938,-1.741,1.576
792,"16:37:28",11.11,12.220,1.590,-8.423,0.161,6.659,7.91,12.454,-10.423,11.555
701,"16:37:28",-14.890,-8.946,-13.711,-12.902,7.638,11.769,10.735,13.467,-9.404,3.568
697,"16:37:28",-14.164,8.852,-3.540,-13.869,-8.099,10.615,9.639,4.920,13.239,-0.314
387,"16:37:28",9.857,-13.209,2.055,-13.733,13.301,9.664,8.398,2.451,-8.056,-13.125
478,"16:37:28",8.682,-11.79,6.15,14.078,7.455,3.800,1.261,-11.06,10.292,-1.225
936,"16:37:28",9.723,-13.558,-5.177,10.45,-11.850,5.200,11.019,2.548,-8.40,8.119
978,"16:37:28",-6.976,0.353,6.464,-5.471,-12.991,-7.317,1.044,13.471,-14.546,-13.110
726,"16:37:28",5.820,-10.049,-10.195,-8.137,-12.469,5.72,1.947,6.878,-3.203,-5.567
