batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
164,"00:24:49",-2.996,11.620,3.787,7.559,-10.901,4.759,-11.400,13.099,8.007,11.412
309,"00:24:49",-4.039,4.526,-10.875,-12.863,8.802,-13.884,4.584,13.436,-13.149,7.603
955,"00:24:49",-0.964,4.675,-2.094,4.257,9.891,-5.347,7.637,4.487,1.157,5.880
864,"00:24:49",-8.292,-0.889,-3.579,3.592,7.804,9.568,10.334,-7.374,14.388,14.889
552,"00:24:49",6.80,-2.059,5.49,-4.475,-11.835,1.171,8.385,0.53,9.611,10.471
605,"00:24:49",0.861,12.712,3.046,4.217,-2.480,-10.697,11.447,6.217,-9.968,-10.742
958,"00:24:49",10.235,4.716,0.927,13.020,-8.301,2.165,1.445,-10.837,-12.601,3.944
678,"00:24:49",4.71,4.538,7.356,-1.296,0.377,-1.205,11.223,8.798,10.409,-5.729
993,"00:24:49",-0.307,-8.563,-6.887,6.639,-6.946,4.110,-7.527,-12.285,-9.810,-12.484
989,"00:24:49",2.289,13.022,-4.235,-6.473,-13.495,-5.901,2.597,13.744,-8.203,-1.311
320,"00:24:49",-14.512,-10.082,1.15,-14.71,7.32,-13.78,5.597,-5.918,-13.661,14.945
926,"00:24:49",-11.742,0.593,-9.058,-7.935,-2.108,4.103,2.15,5.253,7.382,13.33
483,"00:24:49",8.425,-13.072,11.502,-3.688,6.146,-4.441,8.461,8.110,11.426,-10.04
577,"00:24:49",-10.304,-8.784,-1.839,11.195,2.034,9.284,12.158,-14.374,-13.335,6.646
184,"00:24:49",-6.452,-7.428,-1.117,-3.905,-13.089,11.759,7.988,-0.458,13.373,-3.766
84,"00:24:49",-7.981,-2.205,-13.016,10.786,-0.972,-10.018,-7.487,-10.434,-1.024,3.292
200,"00:24:49",-11.080,-10.190,-12.171,12.898,1.118,8.791,1.898,10.273,1.699,12.571
311,"00:24:49",5.583,-6.020,12.120,5.043,-11.969,5.368,-0.654,9.685,4.341,-13.180
115,"00:24:49",-9.813,-3.17,-14.82,8.440,-1.739,-11.67,11.03,-4.966,-1.198,7.850
368,"00:24:49",3.537,10.828,0.030,13.183,-8.386,-5.556,11.309,-3.325,-0.292,-1.912
424,"00:24:49",9.019,4.872,-8.304,-0.02,-4.122,6.400,14.82,-11.394,5.172,3.73
416,"00:24:49",-13.220,3.975,-7.88,-6.87,12.35,1.001,10.144,2.446,6.976,-13.97
103,"00:24:49",7.697,-6.077,0.497,-5.788,12.322,-5.759,11.248,-12.306,-2.561,1.366
12,"00:24:49",6.940,11.086,6.677,3.802,-4.412,1.921,-6.743,2.005,-6.265,12.048
976,"00:24:49",6.883,12.514,7.777,9.437,6.443,10.979,0.940,3.252,4.509,14.421
460,"00:24:49",13.606,-4.998,-9.03,0.16,6.068,2.924,13.979,8.673,-2.317,-10.956
519,"00:24:49",-8.121,-1.947,10.921,5.358,-2.545,0.484,-10.837,7.517,-6.447,1.232
137,"00:24:49",0.800,-4.083,-11.502,9.410,2.31,3.468,0.762,5.54,-1.70,7.329
158,"00:24:49",5.367,-4.486,-12.957,2.00,3.449,5.356,-7.575,-12.550,7.268,10.800
31,"00:24:49",-7.288,-3.597,-12.518,-9.07,12.274,-8.983,5.765,8.51,-4.334,-12.977
517,"00:24:49",9.508,5.209,-13.914,1.195,4.897,10.964,-6.229,-1.352,3.828,-5.570
944,"00:24:49",-10.866,6.147,0.301,-5.972,9.456,-1.196,-7.100,14.991,-2.014,4.860
613,"00:24:49",-0.562,0.69,8.992,-8.240,12.592,2.613,5.366,9.690,1.027,-12.063
493,"00:24:49",11.773,13.538,5.731,-7.709,7.358,8.003,-8.808,-5.894,7.267,3.229
474,"00:24:49",-3.827,11.41,-6.965,-6.121,12.221,13.414,-5.44,4.531,-13.729,3.43
188,"00:24:49",-8.397,-0.585,10.395,-11.624,9.591,7.407,-8.264,6.336,-0.498,-0.829
112,"00:24:49",-9.81,6.12,3.37,11.858,7.417,-5.448,6.13,14.391,-10.80,-5.98
431,"00:24:49",12.092,0.950,-10.754,-10.597,1.960,-6.284,-12.908,4.406,3.096,11.923
647,"00:24:49",13.883,-7.848,-11.430,0.725,13.341,-9.412,5.780,14.806,5.111,11.061
469,"00:24:49",10.427,6.751,3.299,-14.330,4.45,4.970,12.412,12.099,-14.634,14.552
524,"00:24:49",-4.739,-13.962,8.910,3.716,-5.514,-11.613,2.740,7.330,-4.362,-4.706
399,"00:24:49",14.578,5.748,-5.938,3.454,-5.666,11.774,13.818,7.439,-2.640,-8.448
39,"00:24:49",-6.859,0.748,3.537,1.294,-3.478,0.893,0.399,-6.507,-8.214,-13.985
316,"00:24:49",7.303,4.691,-3.916,3.439,11.664,5.166,4.501,7.575,-10.605,-11.643
428,"00:24:49",-14.358,6.906,-7.791,-2.856,5.723,1.789,11.604,-2.968,-1.617,-2.983
821,"00:24:49",2.746,3.261,-6.051,-5.185,-8.430,-3.60,12.807,11.547,-1.895,12.244
869,"00:24:49",-11.907,-9.289,-1.695,14.987,11.052,-2.609,-0.636,-5.408,-7.399,1.520
728,"00:24:49",4.258,12.267,7.020,-8.907,8.629,-12.262,4.855,-14.189,1.127,1.278
958,"00:24:49",4.805,11.434,6.702,-13.572,4.157,-13.934,2.265,-11.565,10.539,6.810
583,"00:24:49",-0.280,5.743,-3.514,-7.397,-8.352,8.385,-8.82,8.545,2.30,-11.028
148,"00:24:49",-1.78,6.756,3.254,1.321,10.21,6.614,-14.590,4.920,-11.28,-9.21
364,"00:24:49",6.070,-1.900,-10.006,-8.874,-3.434,-12.343,-4.136,3.912,14.788,4.201
95,"00:24:49",-0.051,13.729,5.915,-11.043,-7.339,-1.931,0.606,-3.240,-13.156,-7.592
263,"00:24:49",1.204,2.057,0.317,12.961,0.529,1.740,9.699,12.909,11.274,13.162
482,"00:24:49",9.826,14.668,-11.632,-7.407,-10.934,4.582,-7.423,-6.721,-8.589,5.889
406,"00:24:49",-12.840,-12.298,5.825,-9.742,-0.444,13.757,2.285,4.638,7.408,10.699
388,"00:24:49",12.555,-12.170,-14.591,13.227,6.809,-8.574,13.898,-11.495,-0.939,-6.155
848,"00:24:49",3.234,0.874,-13.972,-12.849,-10.950,-13.359,-4.837,6.244,-6.976,12.637
145,"00:24:49",11.241,11.273,14.517,-11.492,-0.546,13.774,-14.671,-10.798,1.306,8.902
39,"00:24:49",-13.919,10.032,1.149,-7.302,-5.265,-8.659,2.941,1.877,11.688,-11.921
487,"00:24:49",1.439,-10.925,6.166,-11.102,-12.349,-7.570,-9.382,10.111,-7.206,13.576
369,"00:24:49",-5.503,-2.000,12.906,13.913,-11.613,-4.963,6.856,-6.839,-6.332,1.463
682,"00:24:49",-5.132,-9.346,10.457,14.683,-5.150,-14.690,2.642,8.744,14.811,14.586
321,"00:24:49",6.319,-5.045,7.418,9.441,-9.53,2.92,-9.597,-8.28,2.477,-5.797
401,"00:24:49",1.050,-1.554,-3.406,9.007,-4.134,10.024,-6.389,-1.694,-2.890,-9.192
316,"00:24:49",-4.176,-8.503,11.969,3.003,-12.112,-11.277,-2.501,-13.841,9.870,8.580
